Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,215.89007210731506
Projectnb w cache & 1 worker,30,218.59607553482056
Projectnb w cache & 1 worker,40,193.91874265670776
Projectnb w cache & 1 worker,50,230.36557960510254
Projectnb w cache & 1 worker,60,191.95329332351685
ENGNAS w cache & 1 worker,20,286.5605399608612
ENGNAS w cache & 1 worker,30,221.89619421958923
ENGNAS w cache & 1 worker,40,224.46773028373718
ENGNAS w cache & 1 worker,50,226.55151915550232
ENGNAS w cache & 1 worker,60,214.49767303466797
Projectnb w/o cache & 1 worker,20,209.30365085601807
Projectnb w/o cache & 1 worker,30,227.99504208564758
Projectnb w/o cache & 1 worker,40,210.4192955493927
Projectnb w/o cache & 1 worker,50,211.239919424057
Projectnb w/o cache & 1 worker,60,234.6786093711853
Projectnb w/o cache & 4 workers,20,73.71523547172546
Projectnb w/o cache & 4 workers,30,66.68538188934326
Projectnb w/o cache & 4 workers,40,72.72367238998413
Projectnb w/o cache & 4 workers,50,75.22626638412476
Projectnb w/o cache & 4 workers,60,74.47216796875
ENGNAS w/o cache & 1 worker,20,440.5632905960083
ENGNAS w/o cache & 1 worker,30,480.2466585636139
ENGNAS w/o cache & 1 worker,40,440.5795085430145
ENGNAS w/o cache & 1 worker,50,461.94933438301086
ENGNAS w/o cache & 1 worker,60,481.9807789325714
ENGNAS w/o cache & 4 workers,20,127.20285654067993
ENGNAS w/o cache & 4 workers,30,128.1043725013733
ENGNAS w/o cache & 4 workers,40,128.48651337623596
ENGNAS w/o cache & 4 workers,50,134.5026500225067
ENGNAS w/o cache & 4 workers,60,131.24136447906494
