Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,1533.9359526634216
Projectnb w cache & 1 worker,30,1482.22407913208
Projectnb w cache & 1 worker,40,1762.5813150405884
Projectnb w cache & 1 worker,50,2280.688464164734
Projectnb w cache & 1 worker,60,2708.6808836460114
ENGNAS w cache & 1 worker,20,1551.495608329773
ENGNAS w cache & 1 worker,30,1546.840961933136
ENGNAS w cache & 1 worker,40,1861.5334024429321
ENGNAS w cache & 1 worker,50,2350.37877202034
ENGNAS w cache & 1 worker,60,2776.057348012924
Projectnb w/o cache & 1 worker,20,871.4119045734406
Projectnb w/o cache & 1 worker,30,1376.336258649826
Projectnb w/o cache & 1 worker,40,1714.6894934177399
Projectnb w/o cache & 1 worker,50,2245.0602416992188
Projectnb w/o cache & 1 worker,60,2677.3948295116425
Projectnb w/o cache & 4 workers,20,931.7936275005341
Projectnb w/o cache & 4 workers,30,1368.9713096618652
Projectnb w/o cache & 4 workers,40,1787.8338339328766
Projectnb w/o cache & 4 workers,50,2240.4157450199127
Projectnb w/o cache & 4 workers,60,2651.8117241859436
ENGNAS w/o cache & 1 worker,20,1976.1981971263885
ENGNAS w/o cache & 1 worker,30,1991.3068146705627
ENGNAS w/o cache & 1 worker,40,1930.3250896930695
ENGNAS w/o cache & 1 worker,50,2337.3286592960358
ENGNAS w/o cache & 1 worker,60,2621.2942106723785
ENGNAS w/o cache & 4 workers,20,975.3137264251709
ENGNAS w/o cache & 4 workers,30,1429.3098690509796
ENGNAS w/o cache & 4 workers,40,1777.5363330841064
ENGNAS w/o cache & 4 workers,50,2306.525114774704
ENGNAS w/o cache & 4 workers,60,2664.6826927661896
