Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,307.47685050964355
Projectnb w cache & 1 worker,30,236.78103709220886
Projectnb w cache & 1 worker,40,250.18099975585938
Projectnb w cache & 1 worker,50,280.165545463562
Projectnb w cache & 1 worker,60,329.8595197200775
ENGNAS w cache & 1 worker,20,335.98146533966064
ENGNAS w cache & 1 worker,30,242.75751113891602
ENGNAS w cache & 1 worker,40,256.1243634223938
ENGNAS w cache & 1 worker,50,284.81907057762146
ENGNAS w cache & 1 worker,60,327.28850769996643
Projectnb w/o cache & 1 worker,20,243.89113235473633
Projectnb w/o cache & 1 worker,30,266.7960886955261
Projectnb w/o cache & 1 worker,40,279.52971863746643
Projectnb w/o cache & 1 worker,50,300.6679162979126
Projectnb w/o cache & 1 worker,60,322.19472908973694
Projectnb w/o cache & 4 workers,20,157.61561703681946
Projectnb w/o cache & 4 workers,30,200.4535732269287
Projectnb w/o cache & 4 workers,40,237.8333990573883
Projectnb w/o cache & 4 workers,50,298.11256289482117
Projectnb w/o cache & 4 workers,60,320.84507179260254
ENGNAS w/o cache & 1 worker,20,466.1272678375244
ENGNAS w/o cache & 1 worker,30,482.6966428756714
ENGNAS w/o cache & 1 worker,40,485.87705969810486
ENGNAS w/o cache & 1 worker,50,578.3183379173279
ENGNAS w/o cache & 1 worker,60,572.0213663578033
ENGNAS w/o cache & 4 workers,20,205.33891201019287
ENGNAS w/o cache & 4 workers,30,254.25648403167725
ENGNAS w/o cache & 4 workers,40,300.8634271621704
ENGNAS w/o cache & 4 workers,50,347.6690499782562
ENGNAS w/o cache & 4 workers,60,386.02211570739746
