Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,2627.388666152954
Projectnb w cache & 1 worker,30,2119.6745371818542
Projectnb w cache & 1 worker,40,2102.1390104293823
Projectnb w cache & 1 worker,50,2264.0456306934357
Projectnb w cache & 1 worker,60,2665.1530146598816
ENGNAS w cache & 1 worker,20,2798.124319076538
ENGNAS w cache & 1 worker,30,2694.8975298404694
ENGNAS w cache & 1 worker,40,2830.159984588623
ENGNAS w cache & 1 worker,50,3143.575179338455
ENGNAS w cache & 1 worker,60,3527.39994597435
Projectnb w/o cache & 1 worker,20,2359.7024931907654
Projectnb w/o cache & 1 worker,30,2401.1330847740173
Projectnb w/o cache & 1 worker,40,2409.757856607437
Projectnb w/o cache & 1 worker,50,2603.0539531707764
Projectnb w/o cache & 1 worker,60,2712.978670358658
Projectnb w/o cache & 4 workers,20,1049.6652319431305
Projectnb w/o cache & 4 workers,30,1498.6093945503235
Projectnb w/o cache & 4 workers,40,1885.491767168045
Projectnb w/o cache & 4 workers,50,2314.4419763088226
Projectnb w/o cache & 4 workers,60,2727.523173570633
ENGNAS w/o cache & 1 worker,20,6518.410475492477
ENGNAS w/o cache & 1 worker,30,6899.561449050903
ENGNAS w/o cache & 1 worker,40,6611.573026418686
ENGNAS w/o cache & 1 worker,50,6672.387976408005
ENGNAS w/o cache & 1 worker,60,6922.518007993698
ENGNAS w/o cache & 4 workers,20,1341.8323142528534
ENGNAS w/o cache & 4 workers,30,1568.1453034877777
ENGNAS w/o cache & 4 workers,40,1967.3324489593506
ENGNAS w/o cache & 4 workers,50,2352.685038089752
ENGNAS w/o cache & 4 workers,60,2798.3019454479218
