Configuration,Number of Layers,Time (seconds)
Projectnb w cache & 1 worker,20,5491.05468249321
Projectnb w cache & 1 worker,30,5454.681077480316
Projectnb w cache & 1 worker,40,5572.2693955898285
Projectnb w cache & 1 worker,50,5603.856683015823
Projectnb w cache & 1 worker,60,5784.452523946762
ENGNAS w cache & 1 worker,20,6288.170222759247
ENGNAS w cache & 1 worker,30,6176.11433339119
ENGNAS w cache & 1 worker,40,6225.0417058467865
ENGNAS w cache & 1 worker,50,6827.898190498352
ENGNAS w cache & 1 worker,60,7185.515926599503
Projectnb w/o cache & 1 worker,20,2315.7691955566406
Projectnb w/o cache & 1 worker,30,2366.262483358383
Projectnb w/o cache & 1 worker,40,2427.5447080135345
Projectnb w/o cache & 1 worker,50,2775.085650205612
Projectnb w/o cache & 1 worker,60,3174.293569803238
Projectnb w/o cache & 4 workers,20,1059.6126585006714
Projectnb w/o cache & 4 workers,30,1487.9879395961761
Projectnb w/o cache & 4 workers,40,1926.50754404068
Projectnb w/o cache & 4 workers,50,2644.8414647579193
Projectnb w/o cache & 4 workers,60,3168.3437206745148
ENGNAS w/o cache & 1 worker,20,6361.582804441452
ENGNAS w/o cache & 1 worker,30,6651.788885116577
ENGNAS w/o cache & 1 worker,40,6216.067005872726
ENGNAS w/o cache & 1 worker,50,6473.834182262421
ENGNAS w/o cache & 1 worker,60,6608.0756459236145
ENGNAS w/o cache & 4 workers,20,1280.9973855018616
ENGNAS w/o cache & 4 workers,30,1678.7119753360748
ENGNAS w/o cache & 4 workers,40,1986.7064044475555
ENGNAS w/o cache & 4 workers,50,2587.428969144821
ENGNAS w/o cache & 4 workers,60,3123.8076758384705
